Accuracy,Balanced Accuracy,F1 Score,Time Taken
0.7175,0.42093417945690675,0.7835207961972668,0.2001659870147705
0.6,0.3831149910695365,0.6984941939490537,0.032662391662597656
0.5625,0.3738278766687858,0.6748651476397513,0.027675390243530273
0.5675,0.3607793721430085,0.6772404889136621,0.039914846420288086
0.5675,0.3607793721430085,0.6772404889136621,0.03269147872924805
0.68,0.35052069142978237,0.7630230719600176,0.42983460426330566
0.6875,0.32339440862168134,0.7660492095869454,0.14845919609069824
0.5375,0.3078843504979869,0.6561953464596202,0.025250673294067383
0.6125,0.300017217630854,0.7109062594093113,0.08179140090942383
0.6425,0.295561446129628,0.7353875571903491,0.10434484481811523
0.0575,0.2932777449822904,0.050092695577617266,0.020017147064208984
0.1375,0.2826624133442315,0.192164614241669,0.07713603973388672
0.685,0.2749778630460449,0.7611532601808652,0.6336188316345215
0.5425,0.2642745512063694,0.6582728738104245,0.04272198677062988
0.7225,0.26228411739775376,0.785221317787807,0.2431800365447998
0.51,0.24125590318772136,0.6296789689513766,0.11653661727905273
0.68,0.23891733266733267,0.7581007159439611,0.08889436721801758
0.5525,0.19972262585898948,0.6666979452844033,0.06585812568664551
0.0375,0.19883525565343746,0.022222991316967682,0.03379058837890625
0.61,0.1890987800078709,0.7081045141482033,0.18475961685180664
0.83,0.18437622983077528,0.843781512605042,0.05080366134643555
0.6775,0.12937441346532255,0.7599863817305678,0.04955315589904785
0.9075,0.125,0.8634927916120577,0.024413347244262695
0.735,0.11978173341809706,0.7940296139608674,0.15163850784301758
0.0,0.0,0.0,0.036580801010131836
